concept_code,estimate,lower,upper,p_value,warning,lestimate,llower,lupper,lci,p_holm,p_fdr,num_patients_ever_severe_icd1,num_patients_never_severe_icd1,num_patients_ever_severe_icd0,num_patients_never_severe_icd0,Observed,Expected,over_sev,drr,lower_drr,upper_drr,ci_drr
G93,1.7672930827668933,1.548174838343576,2.01742384841845,1.0182492916109787e-31,No warning,0.821541312097824,0.6305684069912478,1.0125142172044002,"(0.63, 1.01)",2.0364985832219575e-30,2.0364985832219575e-30,149,441,123,1755,149,54.622950819672134,94.37704918032787,77,54.8174838343576,101.74238484184501,"(55, 102)"
R41,1.4332552693208434,1.2737594873150215,1.6127225645762127,1.882090312762407e-13,No warning,0.5192955830721616,0.34909289202512983,0.6894982741191935,"(0.35, 0.69)",3.5759715942485735e-12,1.882090312762407e-12,132,576,140,1620,132,71.34426229508198,60.655737704918025,43,27.375948731502152,61.27225645762127,"(27, 61)"
G40,1.0645823245947752,1.0156366536704873,1.1158867905601546,0.0025600701156636924,No warning,0.09028751831276947,0.022384366969292167,0.1581906696562468,"(0.02, 0.16)",0.04382125684933988,0.012800350578318461,35,159,237,2037,35,19.69398907103825,15.30601092896175,6,1.5636653670487277,11.588679056015462,"(2, 12)"
R42,0.9378778536142828,0.9080708737377198,0.9686632329473824,0.002434514269407771,No warning,-0.0925280521676258,-0.13912319252576857,-0.04593291180948315,"(-0.14, -0.05)",0.04382125684933988,0.012800350578318461,15,250,257,1946,15,30.965391621129324,-15.965391621129324,-6,-9.192912626228022,-3.1336767052617565,"(-9, -3)"
I61,1.0294801737424688,1.0030895290400568,1.0565651394477882,0.003779704041638695,No warning,0.041916046076193515,0.0044503769748374805,0.07938171517754955,"(0, 0.08)",0.06047526466621912,0.01511881616655478,12,35,260,2161,12,4.335154826958106,7.664845173041894,3,0.3089529040056771,5.656513944778818,"(0, 6)"
G44,0.9795081967213115,0.9740415171276553,0.9850055573334399,0.007513597232060409,Chi-squared approximation may be incorrect,-0.02987052958213767,-0.03794482845483769,-0.02179623070943775,"(-0.04, -0.02)",0.11270395848090614,0.025045324106868033,0,45,272,2151,0,5.573770491803279,-5.573770491803279,-2,-2.59584828723447,-1.4994442666560137,"(-3, -1)"
I67,1.0447012451849862,1.00212271526103,1.0890888661342997,0.01993352524709415,No warning,0.0630904315762231,0.003059185038409569,0.12312167811403675,"(0, 0.12)",0.2790693534593181,0.056952929277411864,28,138,244,2058,28,17.092896174863387,10.907103825136613,4,0.21227152610299171,8.908886613429967,"(0, 9)"
R43,0.9845173041894353,0.979885608265283,0.9891708930845148,0.02748623075164363,Chi-squared approximation may be incorrect,-0.022511531270548474,-0.029314755884976857,-0.01570830665612013,"(-0.03, -0.02)",0.35732099977136716,0.06871557687910908,0,34,272,2162,0,4.211293260473589,-4.211293260473589,-2,-2.0114391734716963,-1.082910691548522,"(-2, -1)"
I62,1.0128604323469774,0.9930311186057114,1.0330857071775612,0.10787783744124148,Chi-squared approximation may be incorrect,0.018435390888252867,-0.01008916670601921,0.046959948482524876,"(-0.01, 0.05)",1,0.2397285276472033,7,29,265,2167,7,3.591985428051002,3.408014571948998,1,-0.696888139428864,3.3085707177561208,"(-1, 3)"
H54,0.9844462049959033,0.9706367754053684,0.9984521039047745,0.1477209115154993,No warning,-0.02261572259099283,-0.042996573040089504,-0.0022348721418960393,"(-0.04, 0)",1,0.2954418230309986,3,58,269,2138,3,7.183970856102004,-4.183970856102004,-2,-2.9363224594631587,-0.15478960952255427,"(-3, 0)"
R27,1.0109908237962677,0.9911161223295021,1.0312640696409259,0.198170160751614,Chi-squared approximation may be incorrect,0.015769902756557975,-0.012873996815252592,0.04441380232836859,"(-0.01, 0.04)",1,0.36030938318475275,7,33,265,2163,7,4.087431693989071,2.912568306010929,1,-0.8883877670497919,3.1264069640925873,"(-1, 3)"
F29,0.9871951716825706,0.9715714030112532,1.0030701850351729,0.3092383323485856,No warning,-0.01859275652507788,-0.04160806821228091,0.004422555162125357,"(-0.04, 0)",1,0.47575128053628557,4,60,268,2136,4,7.431693989071038,-3.4316939890710376,-1,-2.842859698874678,0.30701850351728677,"(-3, 0)"
