concept_code,estimate,lower,upper,p_value,warning,lestimate,llower,lupper,lci,p_holm,p_fdr,num_patients_ever_severe_icd1,num_patients_never_severe_icd1,num_patients_ever_severe_icd0,num_patients_never_severe_icd0,Observed,Expected,over_sev,drr,lower_drr,upper_drr,ci_drr
R41,1.3402642485211291,1.263138121013294,1.4220996310545218,3.8470243917153706e-26,No warning,0.42251747265810824,0.3370124028672517,0.5080225424489649,"(0.34, 0.51)",7.694048783430741e-25,7.694048783430741e-25,387,321,555,1205,387,198.15334207077328,188.84665792922672,34,26.313812101329393,42.209963105452175,"(26, 42)"
G93,1.2646635801943797,1.2008187028855508,1.3319029485689995,4.692587799721033e-22,No warning,0.33875365706590044,0.26401835238278565,0.41348896174901534,"(0.26, 0.41)",8.915916819469964e-21,4.692587799721034e-21,326,264,616,1262,326,162.96723460026215,163.03276539973785,26,20.08187028855508,33.190294856899946,"(20, 33)"
G72,1.0425057584373625,1.0287225658170525,1.0564736231987544,7.54723686782553e-16,No warning,0.060055352635005346,0.04085395707466563,0.07925674819534519,"(0.04, 0.08)",1.3585026362085955e-14,5.03149124521702e-15,39,1,903,1525,39,0.617300131061599,38.3826998689384,4,2.872256581705246,5.6473623198754375,"(3, 6)"
G40,1.0638262138893901,1.0365625824314884,1.0918069323933328,6.734404533156886e-7,No warning,0.08926249215713583,0.05180722174202316,0.12671776257224854,"(0.05, 0.13)",1.1448487706366706e-5,3.367202266578443e-6,107,87,835,1439,107,53.70511140235911,53.29488859764089,6,3.6562582431488355,9.180693239333282,"(4, 9)"
I67,1.0505694718771343,1.0259569065108218,1.075772489308311,1.506711093354416e-5,No warning,0.07117156745471126,0.036970134386682736,0.10537300052273962,"(0.04, 0.11)",2.4107377493670656e-4,6.026844373417664e-5,90,76,852,1450,90,46.91480996068152,43.08519003931848,5,2.595690651082183,7.577248930831093,"(3, 8)"
I61,1.0231868253600598,1.0101352675707571,1.036407017159278,1.1328606045710253e-4,No warning,0.03306959318864331,0.014548497716325656,0.05159068866096116,"(0.01, 0.05)",0.0016992909068565378,3.776202015236751e-4,31,16,911,1510,31,9.876802096985584,21.123197903014415,2,1.0135267570757112,3.6407017159278077,"(1, 4)"
I62,1.019857904643754,1.00834759020316,1.0314996096284506,1.8054419981735254e-4,No warning,0.0283681575435115,0.011993039851190773,0.04474327523583238,"(0.01, 0.04)",0.0025276187974429356,5.158405709067216e-4,25,11,917,1515,25,6.790301441677589,18.209698558322412,2,0.8347590203160005,3.1499609628450553,"(1, 3)"
I60,1.015666267701134,1.0054216381029066,1.0260152837891956,8.552438692730377e-4,No warning,0.022426432595948276,0.007800643328169554,0.037052221863726795,"(0.01, 0.04)",0.01111817030054949,0.0021381096731825943,20,9,922,1517,20,5.55570117955439,14.44429882044561,2,0.5421638102906634,2.60152837891956,"(1, 3)"
H54,1.0172888848517878,1.0032012621728996,1.0315743353447209,0.011096761625149543,No warning,0.024729427042896508,0.00461106837363971,0.044847785712153296,"(0, 0.04)",0.13316113950179453,0.024659470278110097,33,28,909,1498,33,17.28440366972477,15.715596330275229,2,0.32012621728996216,3.157433534472087,"(0, 3)"
G04,1.0061662029282104,1.000382866655146,1.0119829733788903,0.031834446021137865,Chi-squared approximation may be incorrect,0.008868635496575555,5.522541116034018e-4,0.017185016881547704,"(0, 0.02)",0.3501789062325165,0.06366889204227573,7,2,935,1524,7,1.234600262123198,5.765399737876802,1,0.03828666551459747,1.1982973378890316,"(0, 1)"
F29,0.9852803387786644,0.9732236758809393,0.997486364175301,0.03611743777455122,No warning,-0.021393826335832762,-0.039156677343714315,-0.003630975327951151,"(-0.04, 0)",0.3611743777455122,0.06566806868100221,16,48,926,1478,16,29.630406290956746,-13.630406290956746,-1,-2.6776324119060724,-0.251363582469899,"(-3, 0)"
G45,1.0171734381826125,1.0008215635384987,1.0337924771386457,0.040189408073937054,No warning,0.024565694015846202,0.0011847790237569037,0.0479466090079356,"(0, 0.05)",0.3617046726654335,0.06698234678989509,42,43,900,1483,42,26.543905635648755,15.456094364351245,2,0.08215635384987152,3.379247713864575,"(0, 3)"
G46,1.0025374865483903,0.9987828665097556,1.0063062209377085,0.1585629684003617,Chi-squared approximation may be incorrect,0.003656182462089253,-0.0017570219326326776,0.009069386856811357,"(0, 0.01)",1,0.24394302830824877,3,1,939,1525,3,0.617300131061599,2.382699868938401,0,-0.12171334902444375,0.6306220937708495,"(0, 1)"
R42,0.9863699028165879,0.9593930931648095,1.014105263123122,0.3495669714723071,No warning,-0.019799315543712656,-0.0598060415192614,0.020207410431836083,"(-0.06, 0.02)",1,0.49935098349932316,94,171,848,1355,94,105.55832241153342,-11.558322411533425,-1,-4.060690683519052,1.4105263123121992,"(-4, 1)"
R43,0.994833473019873,0.9857914628371026,1.0039584195550337,0.3745132376244924,No warning,-0.0074730443617557,-0.02064560786879197,0.005699519145280425,"(-0.02, 0.01)",1,0.49935098349932316,10,24,932,1502,10,14.815203145478373,-4.815203145478373,-1,-1.4208537162897383,0.3958419555033732,"(-1, 0)"
G61,1.0020421551170673,0.9966206150619844,1.0074931879361213,0.5195883367291302,Chi-squared approximation may be incorrect,0.0029432028435626423,-0.004883678461650468,0.01077008414877563,"(0, 0.01)",1,0.6112803961519179,5,5,937,1521,5,3.0865006553079946,1.9134993446920054,0,-0.3379384938015595,0.7493187936121304,"(0, 1)"
M60,1.0016319823835327,0.9967980621993626,1.006489344411375,0.49008238925442715,Chi-squared approximation may be incorrect,0.002352533766421699,-0.004626831158360036,0.009331898691203294,"(0, 0.01)",1,0.6112803961519179,4,4,938,1522,4,2.469200524246396,1.530799475753604,0,-0.3201937800637378,0.6489344411374942,"(0, 1)"
G44,1.0031963126678207,0.991956188800703,1.0145638014185638,0.6426807762045844,No warning,0.00460395051572188,-0.011651691609624983,0.020859592641068687,"(-0.01, 0.02)",1,0.7140897513384271,19,26,923,1500,19,16.049803407601573,2.9501965923984272,0,-0.804381119929698,1.4563801418563838,"(-1, 1)"
G03,1.0012226832873432,0.9970566116484597,1.0054061623158348,0.680249216840117,Chi-squared approximation may be incorrect,0.0017628816117705353,-0.0042526734877733185,0.0077784367113143595,"(0, 0.01)",1,0.7160518072001231,3,3,939,1523,3,1.8519003931847966,1.1480996068152034,0,-0.2943388351540288,0.5406162315834795,"(0, 1)"
R27,0.9995334376736354,0.9892332838423109,1.0099408393813525,1,No warning,-6.732642265895481e-4,-0.015617313280803428,0.0142707848276242,"(-0.02, 0.01)",1,1,15,25,927,1501,15,15.432503276539974,-0.43250327653997367,-0,-1.0766716157689094,0.9940839381352484,"(-1, 1)"
