concept_code,warning,lestimate,drr,ci_drr,p_fdr
R41,No warning,0.41,33,"(28, 38)",1.4e-47
G93,No warning,0.31,24,"(20, 29)",1.7e-38
G40,No warning,0.09,6,"(4, 8)",8.8e-10
I67,No warning,0.06,4,"(3, 6)",1.1e-09
G72,No warning,0.03,2,"(1, 3)",7.1e-08
I61,No warning,0.02,2,"(1, 2)",0.0014
I60,No warning,0.02,1,"(1, 2)",0.0032
I62,No warning,0.02,1,"(0, 2)",0.0081
G61,Chi-squared approximation may be incorrect,0.01,1,"(0, 1)",0.038
G45,No warning,0.02,1,"(0, 3)",0.06
R27,No warning,0.01,1,"(0, 1)",0.074
H54,No warning,0.01,1,"(0, 2)",0.08
G04,Chi-squared approximation may be incorrect,0.01,0,"(0, 1)",0.2
G46,Chi-squared approximation may be incorrect,0,0,"(0, 0)",0.34
M60,Chi-squared approximation may be incorrect,0,0,"(0, 0)",0.34
G03,Chi-squared approximation may be incorrect,0,0,"(0, 0)",0.56
G44,No warning,-0,-0,"(-1, 0)",0.56
R43,Chi-squared approximation may be incorrect,0,0,"(0, 1)",0.56
R42,No warning,0.01,1,"(-1, 2)",0.59
F29,No warning,-0,-0,"(-1, 1)",1
